,LeagueId,SeasonId,RoundApiId
389,39,2017,39-2017-5
390,39,2017,39-2017-6
391,39,2017,39-2017-7
392,39,2017,39-2017-8
393,39,2017,39-2017-9
394,39,2017,39-2017-10
395,39,2017,39-2017-11
396,39,2017,39-2017-12
397,39,2017,39-2017-13
398,39,2017,39-2017-14
399,39,2017,39-2017-15
400,39,2017,39-2017-16
401,39,2017,39-2017-17
402,39,2017,39-2017-18
403,39,2017,39-2017-19
404,39,2017,39-2017-20
405,39,2017,39-2017-21
406,39,2017,39-2017-22
407,39,2017,39-2017-23
408,39,2017,39-2017-24
409,39,2017,39-2017-25
410,39,2017,39-2017-26
411,39,2017,39-2017-27
412,39,2017,39-2017-28
413,39,2017,39-2017-29
414,39,2017,39-2017-30
415,39,2017,39-2017-31
416,39,2017,39-2017-32
417,39,2017,39-2017-33
418,39,2017,39-2017-34
419,39,2017,39-2017-35
420,39,2017,39-2017-36
421,39,2017,39-2017-37
422,39,2017,39-2017-38
423,39,2018,39-2018-1
424,39,2018,39-2018-2
425,39,2018,39-2018-3
426,39,2018,39-2018-4
427,39,2018,39-2018-5
428,39,2018,39-2018-6
429,39,2018,39-2018-7
430,39,2018,39-2018-8
431,39,2018,39-2018-9
432,39,2018,39-2018-10
433,39,2018,39-2018-11
434,39,2018,39-2018-12
435,39,2018,39-2018-13
436,39,2018,39-2018-14
437,39,2018,39-2018-15
438,39,2018,39-2018-16
439,39,2018,39-2018-17
440,39,2018,39-2018-18
441,39,2018,39-2018-19
442,39,2018,39-2018-20
443,39,2018,39-2018-21
444,39,2018,39-2018-22
445,39,2018,39-2018-23
446,39,2018,39-2018-24
447,39,2018,39-2018-25
448,39,2018,39-2018-27
449,39,2018,39-2018-26
450,39,2018,39-2018-28
451,39,2018,39-2018-29
452,39,2018,39-2018-30
453,39,2018,39-2018-31
454,39,2018,39-2018-32
455,39,2018,39-2018-33
456,39,2018,39-2018-34
457,39,2018,39-2018-35
458,39,2018,39-2018-36
459,39,2018,39-2018-37
460,39,2018,39-2018-38
461,39,2019,39-2019-1
462,39,2019,39-2019-2
463,39,2019,39-2019-3
464,39,2019,39-2019-4
465,39,2019,39-2019-5
466,39,2019,39-2019-6
467,39,2019,39-2019-7
468,39,2019,39-2019-8
469,39,2019,39-2019-9
470,39,2019,39-2019-10
471,39,2019,39-2019-11
472,39,2019,39-2019-12
