,TeamApiId,Name,Code,Country,Founded,National,Logo
85,539,Levante,LEV,Spain,1909.0,False,https://media.api-sports.io/football/teams/539.png
86,546,Getafe,GET,Spain,1983.0,False,https://media.api-sports.io/football/teams/546.png
87,547,Girona,GIR,Spain,1930.0,False,https://media.api-sports.io/football/teams/547.png
88,720,Valladolid,VAL,Spain,1928.0,False,https://media.api-sports.io/football/teams/720.png
89,726,Huesca,HUE,Spain,1922.0,False,https://media.api-sports.io/football/teams/726.png
90,728,Rayo Vallecano,RAY,Spain,1924.0,False,https://media.api-sports.io/football/teams/728.png
91,798,Mallorca,MAL,Spain,1916.0,False,https://media.api-sports.io/football/teams/798.png
92,724,Cadiz,CAD,Spain,1910.0,False,https://media.api-sports.io/football/teams/724.png
93,797,Elche,ELC,Spain,1923.0,False,https://media.api-sports.io/football/teams/797.png
94,723,Almeria,ALM,Spain,1989.0,False,https://media.api-sports.io/football/teams/723.png
95,718,Oviedo,OVI,Spain,1926.0,False,https://media.api-sports.io/football/teams/718.png
96,487,Lazio,LAZ,Italy,1900.0,False,https://media.api-sports.io/football/teams/487.png
97,488,Sassuolo,SAS,Italy,1922.0,False,https://media.api-sports.io/football/teams/488.png
98,489,AC Milan,MIL,Italy,1899.0,False,https://media.api-sports.io/football/teams/489.png
99,490,Cagliari,CAG,Italy,1920.0,False,https://media.api-sports.io/football/teams/490.png
100,491,Chievo,CHI,Italy,1929.0,False,https://media.api-sports.io/football/teams/491.png
101,492,Napoli,NAP,Italy,1904.0,False,https://media.api-sports.io/football/teams/492.png
102,494,Udinese,UDI,Italy,1896.0,False,https://media.api-sports.io/football/teams/494.png
103,495,Genoa,GEN,Italy,1893.0,False,https://media.api-sports.io/football/teams/495.png
104,496,Juventus,JUV,Italy,1897.0,False,https://media.api-sports.io/football/teams/496.png
105,497,AS Roma,ROM,Italy,1927.0,False,https://media.api-sports.io/football/teams/497.png
106,498,Sampdoria,SAM,Italy,1946.0,False,https://media.api-sports.io/football/teams/498.png
107,499,Atalanta,ATA,Italy,1907.0,False,https://media.api-sports.io/football/teams/499.png
108,500,Bologna,BOL,Italy,1909.0,False,https://media.api-sports.io/football/teams/500.png
109,501,Crotone,CRO,Italy,1923.0,False,https://media.api-sports.io/football/teams/501.png
110,502,Fiorentina,FIO,Italy,1926.0,False,https://media.api-sports.io/football/teams/502.png
111,503,Torino,TOR,Italy,1906.0,False,https://media.api-sports.io/football/teams/503.png
112,505,Inter,INT,Italy,1908.0,False,https://media.api-sports.io/football/teams/505.png
113,511,Empoli,EMP,Italy,1920.0,False,https://media.api-sports.io/football/teams/511.png
114,522,Palermo,PAL,Italy,1900.0,False,https://media.api-sports.io/football/teams/522.png
115,525,Pescara,PES,Italy,1936.0,False,https://media.api-sports.io/football/teams/525.png
116,493,Spal,SPA,Italy,1907.0,False,https://media.api-sports.io/football/teams/493.png
