Id,FixturesId,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore,Day,Month,Year
4310,157110,39,2019,39-2019-10,34,39,2019-10-27 13:00:00,FT,1,1,27,10,2019
4311,157108,39,2019,39-2019-10,40,47,2019-10-27 15:30:00,FT,2,1,27,10,2019
4312,157105,39,2019,39-2019-10,42,52,2019-10-27 15:30:00,FT,2,2,27,10,2019
4313,157111,39,2019,39-2019-10,71,33,2019-10-27 15:30:00,FT,1,3,27,10,2019
4314,157115,39,2019,39-2019-11,35,33,2019-11-02 12:30:00,FT,1,0,2,11,2019
4315,157116,39,2019,39-2019-11,42,39,2019-11-02 15:00:00,FT,1,1,2,11,2019
4316,157124,39,2019,39-2019-11,48,34,2019-11-02 15:00:00,FT,2,3,2,11,2019
4317,157121,39,2019,39-2019-11,50,41,2019-11-02 15:00:00,FT,2,1,2,11,2019
4318,157118,39,2019,39-2019-11,51,71,2019-11-02 15:00:00,FT,2,0,2,11,2019
4319,157122,39,2019,39-2019-11,62,44,2019-11-02 15:00:00,FT,3,0,2,11,2019
4320,157117,39,2019,39-2019-11,66,40,2019-11-02 15:00:00,FT,1,2,2,11,2019
4321,157123,39,2019,39-2019-11,38,49,2019-11-02 17:30:00,FT,1,2,2,11,2019
4322,157119,39,2019,39-2019-11,52,46,2019-11-03 14:00:00,FT,0,2,3,11,2019
4323,157120,39,2019,39-2019-11,45,47,2019-11-03 16:30:00,FT,1,1,3,11,2019
4324,157131,39,2019,39-2019-12,71,38,2019-11-08 20:00:00,FT,0,2,8,11,2019
4325,157126,39,2019,39-2019-12,49,52,2019-11-09 12:30:00,FT,2,0,9,11,2019
4326,157130,39,2019,39-2019-12,34,35,2019-11-09 15:00:00,FT,2,1,9,11,2019
4327,157132,39,2019,39-2019-12,41,45,2019-11-09 15:00:00,FT,1,2,9,11,2019
4328,157125,39,2019,39-2019-12,44,48,2019-11-09 15:00:00,FT,3,0,9,11,2019
4329,157133,39,2019,39-2019-12,47,62,2019-11-09 15:00:00,FT,1,1,9,11,2019
4330,157127,39,2019,39-2019-12,46,42,2019-11-09 17:30:00,FT,2,0,9,11,2019
4331,157129,39,2019,39-2019-12,33,51,2019-11-10 14:00:00,FT,3,1,10,11,2019
4332,157134,39,2019,39-2019-12,39,66,2019-11-10 14:00:00,FT,2,1,10,11,2019
4333,157128,39,2019,39-2019-12,40,50,2019-11-10 16:30:00,FT,3,1,10,11,2019
4334,157144,39,2019,39-2019-13,48,47,2019-11-23 12:30:00,FT,2,3,23,11,2019
4335,157135,39,2019,39-2019-13,35,39,2019-11-23 15:00:00,FT,1,2,23,11,2019
4336,157143,39,2019,39-2019-13,38,44,2019-11-23 15:00:00,FT,0,3,23,11,2019
4337,157136,39,2019,39-2019-13,42,41,2019-11-23 15:00:00,FT,2,2,23,11,2019
4338,157140,39,2019,39-2019-13,45,71,2019-11-23 15:00:00,FT,0,2,23,11,2019
4339,157138,39,2019,39-2019-13,51,46,2019-11-23 15:00:00,FT,0,2,23,11,2019
4340,157139,39,2019,39-2019-13,52,40,2019-11-23 15:00:00,FT,1,2,23,11,2019
4341,157141,39,2019,39-2019-13,50,49,2019-11-23 17:30:00,FT,2,1,23,11,2019
4342,157142,39,2019,39-2019-13,62,33,2019-11-24 16:30:00,FT,3,3,24,11,2019
4343,157137,39,2019,39-2019-13,66,34,2019-11-25 20:00:00,FT,2,0,25,11,2019
4344,157150,39,2019,39-2019-14,34,50,2019-11-30 12:30:00,FT,2,2,30,11,2019
4345,157148,39,2019,39-2019-14,40,51,2019-11-30 15:00:00,FT,2,1,30,11,2019
4346,157145,39,2019,39-2019-14,44,52,2019-11-30 15:00:00,FT,0,2,30,11,2019
4347,157153,39,2019,39-2019-14,47,35,2019-11-30 15:00:00,FT,3,2,30,11,2019
4348,157146,39,2019,39-2019-14,49,48,2019-11-30 15:00:00,FT,0,1,30,11,2019
4349,157152,39,2019,39-2019-14,41,38,2019-11-30 17:30:00,FT,2,1,30,11,2019
4350,157154,39,2019,39-2019-14,39,62,2019-12-01 14:00:00,FT,1,1,1,12,2019
4351,157151,39,2019,39-2019-14,71,42,2019-12-01 14:00:00,FT,2,2,1,12,2019
4352,157149,39,2019,39-2019-14,33,66,2019-12-01 16:30:00,FT,2,2,1,12,2019
4353,157147,39,2019,39-2019-14,46,45,2019-12-01 16:30:00,FT,2,1,1,12,2019
4354,157163,39,2019,39-2019-15,52,35,2019-12-03 19:30:00,FT,1,0,3,12,2019
4355,157156,39,2019,39-2019-15,44,50,2019-12-03 20:15:00,FT,1,4,3,12,2019
4356,157160,39,2019,39-2019-15,33,47,2019-12-04 19:30:00,FT,2,1,4,12,2019
4357,157159,39,2019,39-2019-15,39,48,2019-12-04 19:30:00,FT,2,0,4,12,2019
4358,157162,39,2019,39-2019-15,41,71,2019-12-04 19:30:00,FT,2,1,4,12,2019
4359,157157,39,2019,39-2019-15,46,38,2019-12-04 19:30:00,FT,2,0,4,12,2019
4360,157161,39,2019,39-2019-15,49,66,2019-12-04 19:30:00,FT,2,1,4,12,2019
