Id,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore
1038208,140,2023,140-2023-26,715,532,2024-04-04 18:00:00,FT,0,1
1038254,140,2023,140-2023-31,543,538,2024-04-12 19:00:00,FT,2,1
1038253,140,2023,140-2023-31,530,547,2024-04-13 12:00:00,FT,3,1
1038260,140,2023,140-2023-31,728,546,2024-04-13 14:15:00,FT,0,0
1038255,140,2023,140-2023-31,798,541,2024-04-13 16:30:00,FT,0,1
1038259,140,2023,140-2023-31,724,529,2024-04-13 19:00:00,FT,0,1
1038257,140,2023,140-2023-31,534,536,2024-04-14 12:00:00,FT,0,2
1038261,140,2023,140-2023-31,715,542,2024-04-14 14:15:00,FT,2,0
1038252,140,2023,140-2023-31,531,533,2024-04-14 16:30:00,FT,1,1
1038258,140,2023,140-2023-31,548,723,2024-04-14 19:00:00,FT,2,2
1038256,140,2023,140-2023-31,727,532,2024-04-15 19:00:00,FT,0,1
1038263,140,2023,140-2023-32,531,715,2024-04-19 19:00:00,FT,1,1
1038264,140,2023,140-2023-32,538,534,2024-04-20 12:00:00,FT,4,1
1038271,140,2023,140-2023-32,728,727,2024-04-20 14:15:00,FT,2,1
1038268,140,2023,140-2023-32,532,543,2024-04-20 16:30:00,FT,1,2
1038269,140,2023,140-2023-32,547,724,2024-04-20 19:00:00,FT,4,1
1038265,140,2023,140-2023-32,546,548,2024-04-21 12:00:00,FT,1,1
1038262,140,2023,140-2023-32,723,533,2024-04-21 14:15:00,FT,1,2
1038266,140,2023,140-2023-32,542,530,2024-04-21 16:30:00,FT,2,0
1038267,140,2023,140-2023-32,541,529,2024-04-21 19:00:00,FT,3,2
1038270,140,2023,140-2023-32,536,798,2024-04-22 19:00:00,FT,2,1
1038281,140,2023,140-2023-33,548,541,2024-04-26 19:00:00,FT,0,1
1038279,140,2023,140-2023-33,534,547,2024-04-27 12:00:00,FT,0,2
1038272,140,2023,140-2023-33,723,546,2024-04-27 14:15:00,FT,1,3
1038277,140,2023,140-2023-33,542,538,2024-04-27 16:30:00,FT,3,0
1038278,140,2023,140-2023-33,530,531,2024-04-27 19:00:00,FT,3,1
1038275,140,2023,140-2023-33,724,798,2024-04-28 12:00:00,FT,1,1
1038276,140,2023,140-2023-33,715,727,2024-04-28 14:15:00,FT,3,0
1038280,140,2023,140-2023-33,533,728,2024-04-28 16:30:00,FT,3,0
1038274,140,2023,140-2023-33,543,536,2024-04-28 19:00:00,FT,1,1
1038273,140,2023,140-2023-33,529,532,2024-04-29 19:00:00,FT,4,2
1038284,140,2023,140-2023-34,546,531,2024-05-03 19:00:00,FT,0,2
1038290,140,2023,140-2023-34,548,534,2024-05-04 12:00:00,FT,2,0
1038288,140,2023,140-2023-34,541,724,2024-05-04 14:15:00,FT,3,0
